ACUCAR CRISTAL ITAMARATI ESPEC 1KG;R$ 1,99;Loja 122 - Manaus;AV AUTAZ MIRIM, NRO 8755, NOVO ALEIXO, MANAUS-AM, CEP 69099-045
ACUCAR CRIST DC DIA;R$ 1,99;SUPERATACADAO NOVA ERA LTDA - ZONA LESTE;AV. AUTAZ MIRIM, NRO 9058, JORGE TEIXEIRA, MANAUS-AM, CEP 69088-245
ACUCAR DOCE DIA 1KG.;R$ 1,99;J C DA S COSTA COMERCIO;RUA 11, NRO 035, SAO JOSE 1, MANAUS-AM, CEP 69086-120
ACUCAR LESTE KG;R$ 1,99;ALIANCA SUPERMERCADO;RUA CASSIOPEIA, SANTO AGOSTINHO, MANAUS-AM, CEP 69036-600
ACUCAR ITAMARATI 1KG;R$ 1,99;MERCADINHO RIO NEGRO;AV. BATRUM, NRO 076, TANCREDO NEVES, MANAUS-AM, CEP 69087-641
ACUCAR CRISTAL DOCE DIA 1KG;R$ 1,99;MERCADINHO FREITAS;BECO S O JO O, NRO 10, ALEIXO, MANAUS-AM, CEP 69060-610
ACUCAR CRISTAL ITAMARATI 1X1KG 7779;R$ 1,99;MERCADINHO KARREFOURZINHO;R MONSENHOR PACELLI, NRO 323, JAPIIM, MANAUS-AM, CEP 69078-390
ACUCAR CRISTAL Q SABOR 1KG;R$ 1,99;SUPERMERCADO RESENDE;RUA ALMERON CAMINHA, NRO S/N, PETROPOLIS, MANAUS-AM, CEP 69067-200
ACUCAR CRISTAL Q SABOR 1K/CR/;R$ 1,99;MERCADINHO JM;RUA ANTENOS CAVALCANTE, NRO 20, ZUMBI, MANAUS-AM, CEP 69087-021
ACUCAR DOCE DIA 1KG;R$ 1,99;MERCADINHO DA ECONOMIA;R DOS TREVOS, NRO 009, JORGE TEIXEIRA, MANAUS-AM, CEP 69088-460
ACUCAR DOCE DIA 1K;R$ 1,99;ELIANE CAVALCANTE PINTO ME;BOM INTENTO, NRO 121, SAO JOSE OPERARIO, MANAUS-AM, CEP 69086-133
ACUCAR SABOR CRISTAL;R$ 1,99;MERCADINHO E ACOUGUE 2 AMIGOS;RUA DR RESENDE, NRO 064, ZUMBI DOS PALMARES, MANAUS-AM, CEP 69084-280
ACUCAR ITAMARATI 1KG [MERCADINHO];R$ 1,99;MERCADINHO E ACOUGUE D.F;RUA BELFORD ROXO, NRO 850, JORGE TEIXEIRA 4, MANAUS-AM, CEP 69088-039
ACUCAR CRISTAL DOCE DIA 1 KG;R$ 1,99;MERCADINHO AMAZONAS;RUA ITARARE, NRO 011, NOVO ALEIXO, MANAUS-AM, CEP 69099-755
ACUCAR DOCE DIA KG;R$ 1,99;SUPERMERCADO ITALO;AV ARQ JOSE H B RODRIGUES, NRO 4450A, MTE OLIVEIRAS, MANAUS-AM, CEP 69093-149
ACUCAR CRISTAL LESTE 1KG;R$ 1,99;MERCADINHO POPULAR;AV. ARICA, NRO 128, MAUAZINHO, MANAUS-AM, CEP 69047-010
ACUCAR CRISTAL LESTE 1KG;R$ 1,99;SUPERMERCADO JUMA 2;RUA CARIRE, NRO 42, NOVO ALEIXO, MANAUS-AM, CEP 69098-000
ACUCAR DOCE DIA 1KG;R$ 1,99;QUEIROZ COMERCIAL;RUA RIO CABORIS, NRO 35, CIDADE NOVA, MANAUS-AM, CEP 69098-272
ACUCAR DOCE DIA 1KG;R$ 1,99;SM Amazonas;AV. MARGARITA, NRO 001, NOVA CIDADE, QD 238 LOTE 1/3/10/12, MANAUS-AM, CEP 69097-305
ACUCAR CRISTAL 1KG D;R$ 1,99;ADAO TOMAZ JUNIOR ME;RUA FORMOSA, NRO 061, PARQ DAS NACOES, MANAUS-AM, CEP 69028-120
ACUCAR DOCE DIA 1KG;R$ 1,99;MARA FRIOS;AV NOEL NUTELS - CONJ CN ET 1, NRO 20, CIDADE NOVA, MANAUS-AM, CEP 69093-770
ACUCAR ITAMARATI 1KG;R$ 1,99;L V BARJA QUEIROZ;RUA IRITAMA, NRO 002, CIDADE NOVA, MANAUS-AM, CEP 69097-760
ACUCAR CRISTAL ITAMARATI 1KG;R$ 1,99;MERCADINHO VITORIA;R DOS PAVOES, NRO 48, CIDADE DE DEUS, MANAUS-AM, CEP 69099-593
ACUCAR CRISTAL DOCE DIA 1KG;R$ 1,99;PEDRO NAGAWO DE SOBRAL ME;TRAV. ARHUR AZEVEDO, 16QD 7 LT 16, NRO 16, CIDADE NOVA, MANAUS-AM, CEP 69098-000
