BOLO INGLES;3.5;PANIFICADORA OLIVEIRA;RUA 232 QD 411 (NUC 21), NRO 011, CIDADE NOVA V, MANAUS-AM, CEP 69096-770
BOLO CENOURA ESPECIAL;3.5;PANIFICADORA MASTER PAN;RUA PROFESSORA LEA ALENCAR, NRO 25, ALVORADA 1, MANAUS-AM, CEP 69043-170
MISTURA P BOLO RENATA LARANJA 400G;3.54;SUPERMERCADO SAO JOSE;RUA YANOMAMI, NRO 685, COLONIA TERRA NOVA, NAO INFORMADO, MANAUS-AM, CEP 69093-590
BOLO BAUNILHA DR OETKER CX 450G;3.6;COMERCIAL L J;RUA VICENTE TORRES REIS, NRO 250, SAO JORGE, MANAUS-AM, CEP 69000-000
MIST P/BOLO COCO MARATA 450G;3.65;BIG AMIGAO F4;RUA FRANCISCA MENDES, NRO 2360, CIDADE DE DEUS, NAO INFORMADO, MANAUS-AM, CEP 69099-345
MISTURA PARA BOLO SA;3.69;R G COMERCIO DE PROD ALIM LTDA-ME;PCA 15 DE NOVEMBRO, NRO 137, CENTRO, MANAUS-AM, CEP 69005-400
BANDEJA COBRE BOLO RED G50 GAL;3.69;CASA DE CARNE OTAVIO;RUA SAO EUSEBIO, NRO 219, TERRA NOVA, MANAUS-AM, CEP 69093-820
BOLO AS CLARISSAS CENOURA S/LACT S/GLUT;3.75;EMPORIUM ROMA;RUA TEREZINA, NRO 351, ADRIANOPOLIS, NAO INFORMADO, MANAUS-AM, CEP 69053-070
BOLO BAUNILHA DR OET;3.79;L V BARJA QUEIROZ;RUA IRITAMA, NRO 002, CIDADE NOVA, MANAUS-AM, CEP 69097-760
BOLO ANA MARIA PULLMAN GTS CHOC 80G;3.8;LOJA 15 SUPER P.TEIXEIRA;AV PEDRO TEIXEIRA, NRO 79, D PEDRO, MANAUS-AM, CEP 69010-001
BOLO ANA MARIA PULLMAN CHOC 80GR;3.8;LOJA 15 SUPER P.TEIXEIRA;AV PEDRO TEIXEIRA, NRO 79, D PEDRO, MANAUS-AM, CEP 69010-001
BAND. P. BOLO LAMINAD0 N.6;3.8;MERCADINHO ESTRELA;RUA ESTRELA 104, 104, NRO 104, NOVO ISRAEL, MANAUS-AM, CEP 69039-733
MISTURA P/BOLO RENAT;3.8;E.SERRA RODRIGUES;AV BURITI, NRO 091, COROADO III, MANAUS-AM, CEP 69000-000
MIST BOLO  ITALAC MILHO 400G;3.85;36 - MANAUS;AV. GEN. RODRIGO OTAVIO 900, NRO 1, BAIRRO JAPIIM, MANAUS-AM, CEP 69077-000
MISTURA P BOLO RENATA LARANJA 400G;3.85;ALIANCA SUPERMERCADO;RUA CASSIOPEIA, SANTO AGOSTINHO, MANAUS-AM, CEP 69036-600
MIST BOLO  ITALAC FESTA 400G;3.85;36 - MANAUS;AV. GEN. RODRIGO OTAVIO 900, NRO 1, BAIRRO JAPIIM, MANAUS-AM, CEP 69077-000
MIST BOLO OETKER CHO;3.99;CARREFOUR;AV PEDRO TEIXEIRA 52 LOTE B, NRO 52, DOM PEDRO, LOTE B, MANAUS-AM, CEP 69040-000
